Y1 Y2 Y3 Y4 Y5 Y6 Y7 Y8 Y9 Y10 Y11 Y12 Y13 Y14 Y15 Y16 Y17 Y18 Y19 Y20 Y21 Y22 Y23 Y24 Y25 Y26 Y27 Y28 Y29 Y30 Y31 Y32 Y33 Y34 Y35 Y36 Y37 Y38 Y39 Y40 Y41 Y42 Y43 Y44 Y45 Y46 Y47 Y48 Y49 Y50 Y51 Y52 Y53 Y54 Y55 Y56 Y57 Y58 Y59 Y60 Y61 Y62 Y63 Y64 Y65 Y66 Y67 Y68 Y69 Y70 Y71 Y72 Y73 Y74 Y75 Y76 X
7.9428 -5.3306 6.6044 -5.8858 9.3289 3.376 -5.1841 -11.0489 30.7099 5.008 8.3848 -5.2055 13.0485 14.6254 -8.0938 8.3978 -4.7364 11.1229 -18.0611 7.8973 7.645 -9.9122 -1.2676 58.1979 8.1104 17.2503 -13.2 15.7278 32.6115 -14.2747 11.4076 -2.8884 12.0244 -18.0107 6.8238 13.6646 -5.7691 -8.8603 73.5745 6.3315 21.1354 -16.9633 30.9441 40.9764 -19.8128 9.713 -3.3121 31.3586 -28.2927 8.3688 19.4698 -0.5706 -6.4168 64.4791 7.9251 28.6922 -22.8259 31.2858 63.3044 -32.9788 10.5459 -3.5744 21.7874 -29.7187 6.6119 9.7036 -2.8154 -5.4814 133.4284 7.2126 38.0945 -34.9174 54.2386 73.9471 -39.9602 13.9334 6.9359
5.9943 -4.7108 3.3673 -4.1129 5.0727 4.9477 -6.4282 -2.7461 13.2106 4.8272 8.0794 -5.8907 10.9216 13.2187 -5.6849 4.594 -4.558 7.6907 -13.892 5.7558 10.2532 -4.028 -4.9171 39.5756 5.2073 12.9235 -11.0611 16.6536 24.9761 -12.3083 8.8934 -3.8862 13.9922 -15.4403 5.0265 4.1451 1.7052 -2.2313 61.6884 6.3055 20.6931 -16.1422 16.5999 39.9259 -16.1455 7.5309 -2.4332 17.5245 -20.5686 5.8681 8.632 -3.4353 0.1487 68.2912 3.4831 15.0413 -22.2026 21.3614 30.033 -20.7413 9.3201 -0.59 31.2591 -15.1497 3.6674 10.639 -2.4894 -3.5408 65.4241 4.8482 28.4619 -25.9001 31.5821 40.7158 -17.6386 11.995 5.4497
3.4608 -2.8325 2.9333 -2.0363 1.6366 0.0193 -3.5239 -5.6664 12.8683 2.1449 5.3788 -1.4094 8.8614 10.0616 -3.0633 4.0377 -0.1545 6.0609 -2.2134 2.6772 7.6791 -1.995 4.8154 16.8619 3.0236 3.4443 -3.6927 9.9488 17.9035 -4.8701 5.4056 -1.0098 2.4669 -3.4384 2.4892 7.2011 -1.5333 2.2849 23.4346 4.2257 6.5911 -4.2707 16.2356 29.5897 -4.9694 6.0174 1.5626 4.0539 -5.3355 3.0953 4.0314 0.1375 0.3223 43.3186 1.5778 10.9286 -5.0694 15.9824 42.8963 -6.7419 6.6862 2.6278 13.1423 -8.3922 3.383 7.7385 4.1886 3.5829 27.7103 2.7398 10.8413 -16.6556 18.4022 38.7217 -14.5837 7.9425 2.8273
10.8826 -7.8618 8.1202 -8.0159 9.5166 11.9534 3.2688 -4.199 37.2642 9.6996 9.1408 -9.214 14.689 18.4094 -8.678 11.7221 -7.6284 18.0064 -18.253 9.699 14.3684 -13.8816 -6.269 82.1575 7.8635 19.3792 -17.8429 16.6902 33.355 -19.8631 12.1943 -7.0105 18.1661 -23.7004 9.8946 11.7773 -5.3141 -10.5165 117.9171 8.9116 25.0418 -24.2736 32.5629 45.1049 -25.7505 12.4897 -5.2523 30.2443 -29.5573 9.6184 8.6205 -3.2595 -9.1077 147.6943 8.3121 34.687 -42.6298 42.3205 53.4816 -32.1532 13.5457 -4.151 32.2104 -39.2244 8.5859 14.6835 -10.5261 -8.605 188.4737 8.421 46.048 -44.7302 56.1455 64.6001 -42.448 14.6231 9.2343
5.9934 -1.9037 3.1523 -0.0497 1.6574 0.4967 -0.3734 -0.3171 5.1321 4.2155 3.107 -2.191 8.5748 16.4566 -3.8609 7.0912 -1.6671 4.323 -3.6523 2.4524 6.6284 1.1069 1.4907 7.744 3.4212 4.2835 -0.68 10.3514 37.7017 -7.0211 5.4309 -0.8955 0.7518 -10.0377 2.9614 6.2639 1.3069 -3.8623 12.7583 4.238 8.4639 -8.9443 15.2925 33.0175 -9.588 6.3157 1.8686 13.3008 3.6987 1.096 6.3533 2.7183 -4.5995 17.0867 2.6637 11.1909 -15.0003 21.2373 25.6857 -10.3043 8.0934 2.936 7.8787 -9.025 3.6884 10.0521 1.6755 2.3304 47.4942 3.8618 13.9601 -14.1501 16.5468 40.4279 -18.4154 8.513 2.9232
9.2196 -7.2624 7.3497 -7.1112 6.9485 0.3693 -5.2985 -8.572 31.1525 9.2786 9.0063 -7.8823 15.3015 14.0171 -7.4352 10.8737 -6.6991 11.9159 -13.1459 6.1141 6.8477 -1.3492 -6.8787 64.2582 6.694 19.0238 -18.5967 20.4909 44.2572 -13.9049 12.6007 -6.2766 17.8567 -23.0564 8.4728 10.3483 -5.3385 -3.2262 99.7826 9.125 26.4227 -22.3247 31.3262 49.5262 -27.6058 13.9797 -2.5806 31.6519 -27.4822 7.3932 14.9507 -8.6007 -4.2176 129.5098 8.6607 28.092 -37.2346 39.2554 60.2444 -40.1421 13.9674 -3.3224 44.6364 -33.1025 8.7449 15.4368 -3.7379 -7.3746 154.3687 8.5753 48.0805 -44.4516 39.7518 77.9197 -43.9495 14.5634 8.373
2.4715 -0.7057 1.1271 -0.5275 2.6468 4.9441 -0.1855 -0.7828 9.0174 3.2583 3.9882 -0.797 6.6231 14.4385 -2.5027 5.4824 1.0124 9.592 -4.0611 3.5323 1.9767 -1.3428 3.3506 16.8631 2.174 3.8029 -3.5027 10.5297 26.535 -5.5502 5.7127 1.425 7.2383 -7.3816 3.3222 6.3899 4.3262 0.9565 10.9113 3.9842 8.8725 -5.9222 15.2447 35.5785 -5.2641 8.4978 2.1745 10.018 -8.6274 2.2049 6.4166 3.1186 0.8541 27.2165 1.1352 1.3501 -8.886 18.736 53.1167 -6.9124 7.0472 4.4467 9.8436 -15.1708 3.6515 8.1423 3.4061 0.9075 39.0067 4.0722 20.9486 -13.3439 24.1581 37.5911 -9.6525 8.5139 2.8622
2.9446 -2.2104 0.3277 -1.4205 1.4826 0.7908 -1.888 2.9171 6.8598 0.9071 3.964 -2.2196 6.3491 16.7641 -4.4458 3.7023 -2.4262 5.2065 -4.7654 2.2131 3.824 -1.7537 3.6718 6.4938 2.5269 4.5747 -2.932 9.2322 23.0963 -3.7426 7.2182 0.2256 5.9359 -6.9948 1.1 7.6124 0.062 1.5383 28.0679 4.8539 3.0245 -12.1414 11.5422 35.0467 -9.4314 7.3943 0.6361 6.622 -10.6915 2.4854 5.0395 1.3072 3.0365 19.8091 2.4762 7.2997 -14.2823 14.8349 55.1781 -13.5053 4.8039 1.4723 9.3036 -10.6566 0.8188 4.7686 1.7052 -1.9457 29.0039 3.4059 18.6533 -14.1756 18.0366 23.7655 -7.1015 9.4951 2.6682
3.1255 -2.1164 -0.5058 -2.243 1.4049 2.2321 -2.1417 -0.0624 5.8435 2.4816 1.0989 -0.1146 5.3188 15.0021 -0.0636 4.0299 -0.2161 4.2022 -2.1877 3.3987 4.0938 1.3958 -0.2582 25.3255 2.3587 5.3051 -0.4601 13.0825 15.7822 -2.0327 4.3056 0.4169 4.6569 -2.5846 1.7592 3.7488 -0.5676 -1.0203 3.026 2.1544 3.5521 -6.5165 1.6042 31.4847 -3.9764 4.5934 2.2724 4.2004 -1.8483 2.2317 4.3102 4.1335 3.8611 23.9823 1.4155 14.2748 -4.5139 15.2109 43.7563 -1.6231 7.8211 4.6719 8.5823 -5.3379 0.6785 6.7954 1.9543 -1.557 14.3169 2.3313 12.2143 -8.2502 6.9915 21.264 -4.9958 7.5745 1.8672
3.0052 -2.6023 1.1732 -2.5128 3.5804 3.9327 -2.3287 1.6504 6.2565 1.2817 3.0087 -1.4026 7.1764 9.7539 -1.2736 2.244 -0.2157 -1.1383 0.5726 1.4648 3.6433 -0.2597 -1.1139 19.1925 2.2607 6.9058 -6.3201 6.2321 12.1002 -5.516 4.6751 1.3495 2.371 -9.4185 2.4397 0.2674 -0.4598 -0.486 9.9078 3.0985 10.0838 -6.5659 8.2448 29.5004 -3.3215 6.3454 3.091 3.335 -1.5782 3.5571 7.4499 4.7943 6.322 34.3661 3.6165 10.1358 -2.0651 16.8052 21.0087 -5.9777 7.9375 1.0633 11.5639 -14.7108 3.3077 8.3053 3.2452 1.7916 32.9082 0.7109 10.6679 -12.9224 16.2084 33.0378 -18.7113 6.1569 2.3223
3.9883 -3.1901 0.1598 -3.1399 5.1332 3.9613 -4.1141 2.9434 7.0321 2.0617 4.9638 -3.5124 7.626 10.7138 -2.2616 5.6514 -1.7038 3.8869 -1.2122 3.8503 7.3205 -2.5503 -2.0637 22.7706 2.8823 5.8428 -3.2584 4.436 18.927 -7.5421 6.3093 0.0315 7.0437 -0.7236 2.8789 9.5827 1.6522 -3.6371 33.6496 3.9395 8.645 -12.5596 12.4827 28.1408 -10.5213 7.6532 2.0083 13.2054 -10.3766 4.7382 6.9086 3.0018 -3.3837 19.6748 4.249 14.6864 -13.9785 9.2258 37.7377 -11.5124 7.4653 0.7566 13.9685 -6.97 2.9518 8.8144 1.2687 -0.662 12.4569 4.2615 6.757 -10.8757 19.0596 43.2976 -19.5092 9.0699 3.1661
3.8569 -3.4146 0.4674 -2.1266 2.3194 5.488 2.5452 0.2633 10.1225 2.2808 5.0176 -2.6861 8.7648 14.3578 -2.1305 5.7237 -1.4382 5.5901 -0.1621 3.5898 5.8524 -1.8274 3.8943 15.4865 2.974 5.6268 -4.2309 8.099 27.4956 -7.6061 6.0511 -1.247 7.3156 -4.6527 3.8321 1.9491 2.342 1.2088 15.2317 3.4806 8.659 -12.0969 17.0881 28.397 -10.1019 6.8899 -0.6117 6.8035 -7.0385 3.0639 7.6081 1.2964 -3.0789 30.5048 3.3793 7.6712 -2.2306 11.346 31.2073 -7.0034 6.9533 1.0717 12.2107 -9.0542 4.9933 6.1179 4.1164 -3.7931 33.3996 2.0449 14.9182 3.1502 11.7389 44.34 -7.3759 7.175 3.0269
1.2182 -0.6397 2.5532 -0.7012 1.1565 1.4989 -1.8056 6.9834 2.6734 0.9103 4.2284 -0.2081 9.4222 20.1514 -1.6144 3.776 0.7919 1.9568 1.8208 1.5436 2.7872 -1.7964 2.7482 -0.6363 -0.1763 2.8168 -1.721 8.8402 17.2954 -2.1309 4.086 0.8486 1.5162 -7.5747 0.15 5.1832 0.9868 0.2901 20.3724 0.5764 0.1151 -0.9943 8.9406 16.0075 -4.6208 5.7622 3.356 10.3293 -1.3837 2.2388 5.3726 2.812 -2.3417 13.4443 0.6671 3.5891 -7.1876 16.3552 34.1535 -4.0615 6.2905 1.8884 10.327 -6.5004 1.4113 5.749 2.0782 3.2239 10.3675 1.6321 8.9442 -9.7223 11.6641 21.7494 -0.8484 8.5283 1.5905
1.2262 2.411 -0.7784 1.7922 0.6568 1.0987 0.2719 3.5045 2.5913 1.6217 1.8493 -0.129 6.9192 9.6479 0.3557 3.1007 1.8226 0.0182 -1.9863 -0.7456 3.4138 1.4445 3.1236 10.6013 -0.9792 1.3458 -0.4674 11.7994 14.1006 1.9474 1.8186 3.1338 -5.1202 -0.9413 -2.4079 3.4285 1.9122 0.4869 2.8034 1.772 0.6958 -8.5341 2.3721 12.1109 2.253 3.4552 3.2595 -0.0531 0.7982 0.1287 3.3643 3.0902 1.1232 -8.865 -0.5833 -2.9925 -5.143 8.8966 20.5712 -0.3291 5.5081 6.0847 5.5472 4.7552 -1.6742 4.9068 4.6739 1.1415 10.8675 2.7622 6.6829 -1.164 7.2305 42.4239 -0.0136 5.6523 0.4
4.0382 -1.2875 2.5456 -2.8439 1.1428 1.1108 -0.5819 -0.7657 5.1304 1.5949 2.4022 -0.7095 6.9329 11.0958 -2.261 4.4997 -0.8617 3.557 -6.087 2.3759 3.1151 2.8479 3.2932 19.1288 1.4203 6.2693 -7.0641 14.6505 11.2027 -4.5202 5.2181 2.7623 6.9514 -2.4527 0.981 5.7525 2.6786 2.5423 10.9766 3.0638 3.4239 -4.3686 3.2729 26.858 -11.6073 4.9004 1.1866 8.7053 -1.6316 2.3465 7.7781 3.4514 2.7319 34.998 1.5602 8.9176 -3.2449 17.7043 97.8458 -8.1195 7.9112 3.8457 7.0818 -5.0768 2.8921 5.6061 1.9382 1.1632 6.2919 3.998 10.4178 -8.6367 26.9295 49.3754 -8.0513 7.0728 2.188
9.8036 -6.3287 8.755 -8.1516 8.0866 2.731 -8.3585 -0.989 35.5543 10.1559 9.2083 -7.425 14.3024 19.5553 -10.3814 10.8664 -5.5386 13.3417 -14.0816 6.775 4.5551 -7.4845 -6.4491 64.9234 7.3835 17.2062 -17.1238 20.643 29.7811 -17.6591 10.3894 -3.524 26.322 -28.1978 8.5756 16.4509 -4.8748 -6.492 89.7604 8.4235 28.4612 -20.7566 31.1133 36.6086 -19.0176 13.5138 -5.2072 34.3264 -34.1433 9.0017 12.6222 3.5438 -4.0815 127.9654 9.1252 36.6416 -33.3375 38.6107 61.5936 -41.5929 14.4961 -1.7347 34.4893 -39.0528 7.313 17.3378 4.7781 -4.2049 159.5024 11.401 36.672 -43.1941 41.9331 75.206 -33.6611 13.5145 8.106
6.807 -5.3596 4.3765 -5.9972 4.2085 6.1403 -9.1322 -1.3225 21.3794 6.1288 6.4623 -1.6897 10.2304 12.0025 -4.6122 9.0994 -3.0775 8.0124 -8.8694 4.4937 7.9967 -5.7225 -2.9274 28.9602 4.9981 11.1384 -12.3573 13.0052 29.6144 -8.1751 9.3396 -1.4192 18.8282 -14.217 7.016 8.2895 -2.4366 -0.2441 54.324 7.3065 14.0377 -13.9955 21.7702 35.5236 -18.7333 9.5243 -1.5688 16.8401 -8.9327 5.7295 14.0463 -1.9222 0.1765 74.4715 6.4947 23.8518 -16.6431 26.2699 41.8414 -19.8669 9.4081 -0.8659 21.3456 -20.9676 6.9722 13.1208 -3.9748 -5.2881 62.4697 4.8283 26.9512 -23.4974 6.7236 64.7235 -18.9448 11.8422 5.257
9.7438 -8.3682 8.1502 -7.6335 8.329 8.0693 -6.9665 -10.0063 38.4473 8.7231 10.6934 -9.2491 14.7791 20.5436 -9.8116 12.2589 -6.4602 14.4406 -19.2487 8.4209 13.3783 -2.9905 -3.8241 80.6646 9.7092 18.3621 -15.8617 22.8832 37.3198 -20.214 11.1939 -6.1597 27.1174 -24.4975 10.7099 14.451 -11.0391 -7.0062 100.5886 8.7555 28.8083 -27.2971 31.8583 38.0285 -30.3786 12.7382 -4.4579 25.5162 -32.37 8.6561 21.9438 -4.3875 -9.5564 144.6126 9.2951 42.7609 -35.1597 44.015 61.3878 -31.9467 14.4373 -4.061 42.4815 -44.5241 10.9917 18.3481 0.3673 -7.8359 185.6916 9.4411 46.5817 -44.2284 48.6226 83.7072 -53.5145 13.228 9.1466
9.1219 -6.7474 7.5099 -7.7594 8.1932 12.1176 -11.8439 -6.5907 36.6401 7.3656 10.2443 -7.7005 9.5361 18.5154 -6.476 10.3461 -7.6407 16.8018 -18.6155 9.5626 2.4345 -4.6271 -9.2091 68.5431 8.2323 18.9633 -15.6591 22.6306 29.2746 -18.1762 12.4399 -7.0392 21.3787 -18.1291 6.8954 6.8322 -5.3886 -4.8902 83.6428 7.734 28.0384 -21.865 27.4947 43.837 -27.0263 12.6387 -2.8782 26.8153 -27.5473 8.969 12.9872 -6.355 -5.3424 125.8525 7.1932 32.1296 -36.4063 37.421 59.5518 -36.9944 14.6476 -2.1949 33.179 -33.8879 9.7117 10.5285 1.1633 -1.3893 166.7833 6.8001 41.525 -26.6912 35.3858 55.2051 -39.4764 14.5673 8.3135
0.2632 0.1873 0.1374 -1.2969 0.3693 0.6878 -0.0805 5.414 8.8985 0.7046 2.0848 -0.0706 5.8744 10.1668 0.1261 1.3433 0.7744 -4.9725 3.5796 -1.1533 2.409 1.7462 4.1671 -0.6809 -0.5177 3.4783 0.6885 6.262 14.476 0.0939 2.8087 1.8114 -2.01 6.6548 -0.3828 3.6257 2.753 3.2434 9.3295 0.8742 1.9213 2.0523 8.1803 16.4698 -1.0769 6.5202 3.6812 0.2038 2.599 1.3074 4.2805 3.1288 3.7496 2.243 0.8959 0.001 -2.1575 5.8563 40.8778 -5.9375 4.5564 5.6028 0.4994 -4.2404 0.7399 5.3388 4.0874 4.091 9.8381 -0.9163 10.1164 -2.6969 11.0279 47.0259 4.8591 5.4855 0.4577
5.5078 -2.7757 4.362 -4.3808 5.3773 4.0346 -6.3805 -3.3581 16.0419 4.4074 3.7329 -2.8114 9.8527 12.5009 -4.5983 6.979 -2.7536 6.5606 -3.7811 3.7025 1.6032 -4.0177 -5.3397 22.3304 4.8587 12.4797 -10.9017 16.8556 43.8489 -12.4462 7.8534 -1.7763 9.7668 -6.7128 5.6418 7.3404 1.2757 0.2332 48.75 2.9637 12.7242 -9.3438 15.3314 27.7654 -10.9398 8.9236 -0.634 19.0572 -19.5459 3.9246 1.5265 2.678 -1.1734 56.0457 3.9333 10.147 -14.8222 25.3415 38.1737 -17.6981 9.3382 0.9992 11.3574 -16.9958 3.8696 10.797 -1.992 -5.1515 48.5882 4.6704 18.3819 -12.9769 31.9845 43.5319 -23.7201 10.5524 4.5609
3.9071 -0.9578 -0.3633 -2.6471 2.247 7.8044 0.2927 4.6927 9.5259 5.6075 4.6817 -0.5147 7.7499 12.5008 1.3998 4.2516 0.3072 4.9279 -2.7759 1.2926 4.936 -1.1622 -1.8152 14.31 3.3726 3.9967 -3.8313 11.7611 17.4705 -2.915 6.5506 0.8383 4.167 -0.51 2.6461 6.9004 0.7063 -0.6485 36.7303 2.484 13.3485 -11.0991 11.7382 17.5002 -6.5585 8.0633 1.1458 7.4405 -4.2451 3.1652 6.6234 -0.8642 3.3859 25.8433 2.5522 12.9123 -10.971 13.8332 22.6568 -6.4717 5.8804 2.5063 19.3897 -4.0336 2.6759 9.3137 3.2834 -0.4388 -9.5923 3.0005 10.0115 -11.1794 11.2975 46.4258 -21.0682 9.3309 2.6519
5.7527 -2.6795 2.0941 -1.7494 3.6131 4.7207 -2.3237 0.622 11.7735 1.8718 5.2803 -1.0748 7.6908 11.0588 -3.4939 6.5402 -1.5758 3.678 -3.752 3.4441 4.6323 -0.1491 0.8225 21.2365 1.8741 7.0629 -3.4489 11.3766 16.2805 -10.624 5.528 0.0127 5.9858 -7.6296 3.5005 7.6046 0.4894 2.5233 28.8546 3.1082 9.2929 -11.5501 15.9954 33.3361 -14.4298 8.4143 1.9071 11.5434 -8.6458 4.0034 6.7402 2.9317 -2.1412 43.9866 2.4209 11.465 -17.6124 14.483 27.5786 -15.8569 8.3341 0.7891 -2.1835 -9.2123 2.4856 7.9881 2.1741 -2.9095 49.1385 4.7149 18.134 -10.8649 23.4087 32.9845 -19.3188 9.6164 3.0467
